abolish	ortadan kaldırmak	abschaffen	abolir
embody	somutlaştırmak	verkörpern	incarner
emergence	ortaya çıkma	Entstehung	émergence
empirical	ampirik	empirisch	empirique
empower	güçlendirmek	ermächtigen	habiliter
enact	sahnelemek	erlassen	promulguer
encompass	kapsamak	umfassen	englober
encouragement	cesaret	Ermutigung	encouragement
encouraging	teşvik edici	ermutigend	encourageant
endeavour	çaba	bemühen	effort
endless	sonsuz	endlos	sans fin
endorse	onaylamak	billigen	endosser
endorsement	onay	Billigung	approbation
endure	dayanmak	ertragen	endurer
enforce	zorlamak	erzwingen	imposer
enforcement	uygulama	Durchsetzung	mise en vigueur
engagement	nişanlanmak	Engagement	engagement
engaging	ilgi çekici	engagiert	engageant
enquire	sormak	Anfragen	renseigner
enrich	zenginleştirmek	bereichern	enrichir
enrol	kaydetmek	einschreiben	inscrire
ensue	ortaya çıkmak	erfolgen	résulter
enterprise	girişim	Unternehmen	entreprise
enthusiast	meraklı	Enthusiast	passionné
entitle	hak kazanmak	berechtigen	droit
entity	varlık	juristische Person	entité
epidemic	epidemi	Epidemie	épidémie
equality	eşitlik	Gleichwertigkeit	égalité
equation	denklem	Gleichung	équation
erect	dik	aufrecht	ériger
escalate	tırmanmak	eskalieren	intensifier
essence	öz	Wesen	essence
establishment	kuruluş	Einrichtung	établissement
eternal	sonsuz	ewig	éternel
evacuate	tahliye ediyorum	evakuieren	évacuer
evoke	uyandırmak	hervorrufen	évoquer
evolutionary	evrimsel	evolutionär	évolutionniste
exaggerate	abartmak	übertreiben	exagérer
excellence	mükemmellik	Exzellenz	excellence
exceptional	olağanüstü	außergewöhnlich	exceptionnel
excess	aşırı	Überschuss	excès
exclusion	hariç tutma	Ausschluss	exclusion
exclusive	özel	exklusiv	exclusif
exclusively	münhasıran	ausschließlich	exclusivement
execute	uygulamak	ausführen	exécuter
execution	uygulamak	Ausführung	exécution
exert	zorlamak	ausüben	exercer
exile	sürgün	Exil	exilé
expenditure	harcama	Ausgaben	dépense
experimental	deneysel	Experimental-	expérimental
expire	süresi dolmak	erlöschen	expirer
explicit	açık	explizit	explicite
explicitly	açıkça	ausdrücklich	explicitement
exploitation	sömürme	Ausbeutung	exploitation
explosive	patlayıcı	explosiv	explosif
extract	çıkarmak	Extrakt	extrait
extremist	aşırı	Extremist	extrémiste
facilitate	kolaylaştırmak	erleichtern	faciliter
faction	hizip	Fraktion	faction
faculty	Fakülte	Fakultät	la faculté
fade	solmak	verblassen	disparaître
fairness	adillik	Gerechtigkeit	justice
fatal	ölümcül	tödlich	fatal
fate	kader	Schicksal	destin
favourable	elverişli	günstig	favorable
feat	başarı	feat	exploit
feeding	besleme	Fütterung	alimentation
feminist	feminist	Feminist	féministe
fibre	lif	Faser	fibre
fierce	şiddetli	erbittert	féroce
film-maker	film yapımcısı	Filmemacher	réalisateur
filter	filtre	Filter	filtre
fine	iyi	Bußgeld	bien
firearm	ateşli silah	Feuerwaffe	arme à feu
fit	yerleştirmek	fit	adapter
fixture	Fikstür	Vorrichtung	fixation
flaw	kusur	Mangel	défaut
flawed	kusurlu	fehlerhaft	défectueux
flee	kaçmak	fliehen	fuir
fleet	filo	Flotte	flotte
flesh	beden	Fleisch	chair
flexibility	esneklik	Flexibilität	la flexibilité
flourish	güzelleşmek	blühen	fleurir
fluid	sıvı	Fluid	fluide
footage	kamera görüntüsü	Filmaufnahme	images
foreigner	yabancı	Ausländer	étranger
forge	dövmek	Schmiede	forger
formula	formül	Formel	formule
formulate	formüle etmek	formulieren	formuler
forth	ileri	weiter	en avant
forthcoming	Yaklaşan	in Kürze	à venir
foster	bakmak	fördern	favoriser
fragile	kırılgan	zerbrechlich	fragile
franchise	franchise	Franchise	la franchise
frankly	açıkçası	geradeheraus	franchement
frustrated	hüsrana uğramış	frustriert	frustré
frustrating	sinir bozucu	frustrierend	frustrant
frustration	hüsran	Frustration	frustration
functional	işlevsel	funktional	fonctionnel
fundraising	Bağış	Spendensammlung	collecte de fonds
funeral	cenaze	Beerdigung	funérailles
gallon	galon	Gallone	gallon
gambling	kumar	Glücksspiel	jeu
gathering	toplama	sammeln	rassemblement
gaze	bakış	Blick	regard
gear	vites	Gang	engrenage
generic	genel	generisch	générique
genocide	soykırım	Völkermord	génocide
glance	bakış atmak	Blick	coup d'œil
glimpse	göz atmak	Blick	aperçu
glorious	görkemli	herrlich	glorieux
glory	görkem	Ruhm	gloire
governance	Yönetim	Führung	gouvernance
grace	lütuf	Anmut	la grâce
grasp	sıkı sıkı tutmak	fassen	saisir
grave	mezar	Grab	grave
gravity	yer çekimi	Schwere	la gravité
grid	Kafes	Netz	grille
grief	yas	Kummer	deuil
grin	sırıtış	Grinsen	sourire
grind	öğütmek	mahlen	moudre
grip	kavramak	Griff	poignée
guerrilla	gerilla	Guerilla	guérilla
guidance	rehberlik	Orientierungshilfe	conseils
guilt	suç	Schuld	culpabilité
gut	bağırsak	Darm	intestin
hail	dolu	Hagel	grêle
halfway	yarıya kadar	auf halber Strecke	à mi-chemin
halt	durma	Halt	arrêt
handful	avuç	Hand voll	poignée
handling	işleme	Handhabung	manutention
handy	kullanışlı	praktisch	pratique
harassment	taciz	Belästigung	harcèlement
hardware	donanım	Hardware	matériel
harmony	uyum	Harmonie	harmonie
harsh	sert	harsch	rude
harvest	hasat	Ernte	récolte
hatred	kin	Hass	haine
haunt	uğrak	verfolgen	hanter
hazard	tehlike	Gefahr	danger
heighten	yükseltmek	erhöhen	augmenter
heritage	miras	Erbe	patrimoine
hierarchy	hiyerarşi	Hierarchie	hiérarchie
high-profile	yüksek profilli	hochkarätig	haut profil
hint	ipucu	Hinweis	indice
homeland	anavatan	Heimat	patrie
hook	çengel	Haken	accrocher
hopeful	umutlu	hoffnungsvoll	optimiste
horizon	ufuk	Horizont	horizon
horn	korna	Horn	corne
hostage	rehin	Geisel	otage
hostile	düşmanca	feindlich	hostile
hostility	düşmanlık	Feindseligkeit	hostilité
humanitarian	insani	humanitär	humanitaire
humanity	insanlık	Menschheit	humanité
humble	mütevazı	bescheiden	humble
hydrogen	hidrojen	Wasserstoff	hydrogène
identification	Tanılama	Identifikation	identification
ideological	ideolojik	ideologisch	idéologique
ideology	ideoloji	Ideologie	idéologie
idiot	salak	Idiot	idiot
ignorance	cehalet	Ignoranz	ignorance
imagery	görüntüler	Bilder	imagerie
immense	engin	immens	immense
imminent	yakın	unmittelbar bevorsteht	imminent
implementation	uygulama	Implementierung	mise en œuvre
imprison	hapsetmek	einsperren	emprisonner
imprisonment	hapis cezası	Haft	emprisonnement
inability	yeteneksizlik	Unfähigkeit	incapacité
inadequate	yetersiz	unzureichend	inadéquat
inappropriate	uygunsuz	unangemessen	inapproprié
incidence	insidans	Vorfall	incidence
inclined	eğimli	geneigt	incliné
inclusion	dahil etme	Aufnahme	inclusion
incur	katlanmak	eingehen	encourir
indicator	gösterge	Indikator	indicateur
indictment	iddianame	Anklage	accusation
indigenous	yerli	einheimisch	indigène
induce	indüklemek	induzieren	induire
indulge	şımartmak	frönen	se livrer à
inequality	eşitsizlik	Ungleichheit	inégalité
infamous	meşhur	berüchtig	infâme
infant	bebek	Kleinkind	nourrisson
infect	enfekte etmek	infizieren	infecter
inflict	zorlamak	zufügen	infliger
influential	etkili	einflussreich	influent
inherent	doğal	inhärent	inhérent
inhibit	engellemek	hemmen	inhiber
initiate	başlatmak	einleiten	lancer
inject	enjekte etmek	injizieren	injecter
injection	enjeksiyon	Injektion	injection
injustice	adaletsizlik	Ungerechtigkeit	injustice
inmate	mahkum	Insasse	détenu
insertion	ekleme	Einfügen	insertion
insider	içeriden	Insider	initié
inspect	incelemek	prüfen	inspecter
inspection	denetleme	Inspektion	inspection
inspiration	esin	Inspiration	inspiration
instinct	içgüdü	Instinkt	instinct
institutional	kurumsal	institutionell	institutionnel
instruct	öğretmek	anweisen	instruire
instrumental	enstrümantal	instrumental	instrumental
insufficient	yetersiz	unzureichend	insuffisant
insult	hakaret	Beleidigung	insulte
intact	bozulmamış	intakt	intact
intake	alım	Aufnahme	admission
integrated	Birleşik	integriert	intégré
integration	entegrasyon	Integration	l'intégration
integrity	bütünlük	Integrität	intégrité
intellectual	entelektüel	intellektuell	intellectuel
intensify	yoğunlaştırmak	intensivieren	intensifier
intensity	yoğunluk	Intensität	intensité
intensive	yoğun	intensiv	intensif
intent	niyet	Absicht	intention
interactive	etkileşimli	interaktiv	interactif
interface	arayüz	Schnittstelle	interface
interfere	müdahale etmek	stören	interférer
interference	parazit yapmak	Interferenz	ingérence
interim	ara	vorüber	intérimaire
interior	iç mekan	Innere	intérieur
intermediate	orta seviye	dazwischenliegend	intermédiaire
intervene	araya girmek	eingreifen	intervenir
intervention	araya girmek	Intervention	intervention
intimate	samimi	intim	étroit
intriguing	ilgi çekici	faszinierend	intrigant
investigator	müfettiş	Ermittler	enquêteur
invisible	görünmez	unsichtbar	invisible
invoke	çağırmak	aufrufen	invoquer
involvement	tutulum	Beteiligung	participation
ironic	ironik	ironisch	ironique
ironically	ironik bir şekilde	ironisch	ironiquement
irony	ironi	Ironie	ironie
irrelevant	alakasız	irrelevant	non pertinent
isolation	izolasyon	Isolation	isolement
judicial	yargı	gerichtlich	judiciaire
junction	Kavşak noktası	Kreuzung	jonction
jurisdiction	yargı yetkisi	Zuständigkeit	juridiction
just	Sadece	Nur	juste
justification	meşrulaştırma	Rechtfertigung	justification
kidnap	kaçırmak	entführen	kidnapper
kidney	böbrek	Niere	rein
kingdom	krallık	Königreich	Royaume
yönetilen	Yönetilen	Yöretilen	Yönetilen
lad	delikanlı	Junge	garçon
landlord	kiraya veren	Vermieter	propriétaire
landmark	dönüm noktası	Wahrzeichen	repère
lap	kucak	Schoß	genoux
large-scale	büyük ölçekli	groß angelegt	grande échelle
laser	lazer	Laser	laser
latter	ikincisi	letztere	dernier
lawn	çim	Rasen	pelouse
lawsuit	dava	Klage	procès
layout	düzen	Layout	mise en page
leak	sızıntı	Leck	fuir
leap	sıçramak	Sprung	saut
legacy	miras	Vermächtnis	héritage
legendary	efsanevi	legendär	légendaire
legislation	mevzuat	Gesetzgebung	législation
legislative	yasama	Gesetzgeber	législatif
legislature	yasama organı	Legislative	corps législatif
legitimate	meşru	legitim	légitime
lengthy	uzun	langwierig	longue
lesbian	lezbiyen	Lesbe	lesbienne
lesser	daha az	geringer	moindre
lethal	ölümcül	tödlich	mortel
liable	sorumlu	haftbar	responsable
liberal	liberal	Liberale	libéral
liberation	kurtuluş	Befreiung	libération
liberty	özgürlük	Freiheit	liberté
license	lisans	Lizenz	Licence
lifelong	ömür boyu	lebenslang	permanent
likelihood	olasılık	Wahrscheinlichkeit	probabilité
limb	uzuv	Glied	membre
linear	doğrusal	linear	linéaire
line-up	sıralanmak	ausrichten	s'aligner
linger	oyalanmak	verweilen	s'attarder
listing	liste	Auflistung	référencement
literacy	okuryazarlık	Alphabetisierung	l'alphabétisation
liver	karaciğer	Leber	foie
