abandon	terk etmek	aufgeben	abandonner
apology	özür	Entschuldigung	excuses
apparent	görünen	ersichtlich	apparent
apparently	görünüşe göre	scheinbar	apparemment
appeal	çekici	appellieren	appel
applicant	başvuru sahibi	Antragsteller	demandeur
approach	yaklaşmak	Ansatz	approche
appropriate	uygun	geeignet	approprié
appropriately	uygun olarak	passend	de manière appropriée
approval	onay	Genehmigung	approbation
approve	onaylamak	genehmigen	approuver
arise	kalkmak	entstehen	surgir
armed	silahlı	bewaffnet	armé
arms	silâh	Waffen	bras
arrow	ok	Pfeil	flèche
artificial	yapay	künstlich	artificiel
artistic	sanatsal	künstlerisch	artistique
artwork	sanat eseri	Kunstwerk	ouvrages d'art
ashamed	utanmış	beschämt	honteux
aside	bir kenara	beiseite	de côté
aspect	bakış açısı	Aspekt	aspect
assess	değer biçmek	bewerten	évaluer
assessment	değerlendirme	Bewertung	évaluation
asset	varlık	Anlage	actif
assign	atamak	zuordnen	attribuer
assistance	yardım	Hilfe	assistance
associate	iş arkadaşı	assoziieren	associé
associated	birleşmiş	damit verbundenen	associé
association	dernek	Verband	association
assume	farz etmek	annehmen	supposer
assumption	varsayım	Annahme	hypothèse
assure	garanti etmek	versichern	assurer
edici	Edici	EDICI	edici
astonishing	şaşırtıcı	erstaunlich	étonnant
attachment	EK	Anhang	pièce jointe
attempt	girişim	versuchen	tentative
auction	açık arttırma	Versteigerung	enchères
audio	ses	Audio-	l'audio
automatic	otomatik	automatisch	automatique
automatically	otomatik olarak	automatisch	automatiquement
awareness	farkındalık	Bewusstsein	conscience
awkward	garip	unangenehm	maladroit
back	geri	zurück	dos
bacteria	bakteri	Bakterien	bactéries
badge	rozet	Abzeichen	badge
balanced	dengeli	ausgewogen	équilibré
ballet	bale	Ballett	ballet
balloon	balon	Ballon	ballon
bar	çubuk	Bar	bar
barely	neredeyse	kaum	à peine
bargain	pazarlık	Schnäppchen	aubaine
barrier	engel	Barriere	barrière
basement	bodrum	Keller	sous-sol
basically	temel olarak	grundsätzlich	essentiellement
basket	sepet	Korb	panier
bat	yarasa	Schläger	chauve souris
battle	savaş	Schlacht	bataille
bear	ayı	tragen	ours
beat	vurmak	schlagen	battre
beg	dilenmek	bitten	mendier
being	yapı	Sein	être
beneficial	yararlı	vorteilhaft	bénéfique
bent	kıvrılmış	gebogen	courbé
beside	yanında	neben	à côté de
besides	Ayrıca	neben	outre
bet	bahis	Wette	pari
beyond	öte	außerhalb	au-delà
bias	ön yargı	Voreingenommenheit	biais
bid	teklif etmek	Gebot	offre
bill	fatura	Rechnung	facture
biological	biyolojik	biologisch	biologique
bitter	acı	bitter	amer
blame	suçlamak	beschuldigen	blâmer
blanket	battaniye	Decke	couverture
blind	kör	blind	aveugle
blow	üflemek	Schlag	souffler
bold	gözü pek	deutlich	gras
bombing	bombalama	Bombardierung	bombardement
bond	bağlamak	Bindung	lier
booking	rezervasyon	Buchung	réservation
boost	artırmak	Schub	augmenter
border	sınır	Grenze	frontière
bound	ciltli	gebunden	bondir
breast	göğüs	Brust	sein
brick	tuğla	Ziegel	brique
brief	kısa bilgi	knapp	bref
briefly	kısaca	knapp	brièvement
broad	kalın	breit	large
broadcast	yayın	übertragen	diffuser
broadcast/broadcasted	yayın/yayınlandı	Sendung/Sendung	diffusion / diffusé
broadly	genel olarak	breit	largement
budget	bütçe	Budget	budget
bug	böcek	Insekt	bogue
bullet	mermi	Patrone	balle
bunch	demet	Bündel	bouquet
burn	yakmak	brennen	brûler
bush	çalı	Busch	buisson
but	Ancak	Aber	mais
cabin	kabin	Kabine	cabine
cable	kablo	Kabel	câble
calculate	hesaplamak	Berechnung	calculer
canal	kanal	Kanal	canal
cancel	iptal etmek	stornieren	Annuler
cancer	kanser	Krebs	cancer
candle	mum	Kerze	bougie
capable	yetenekli	fähig	capable
capacity	kapasite	Kapazität	capacité
capture	esir almak	ergreifen	capture
carbon	karbon	Kohlenstoff	carbone
cast	döküm	gießen	jeter
casual	gündelik	lässig	occasionnel
catch	yakalamak	fangen	attraper
cave	mağara	Höhle	grotte
cell	hücre	Zelle	cellule
certainty	kesinlik	Sicherheit	certitude
certificate	sertifika	Zertifikat	certificat
chain	zincir	Kette	chaîne
chair	sandalye	Stuhl	chaise
chairman	başkan	Vorsitzende	président
challenge	meydan okumak	Herausforderung	défi
challenging	zorlu	herausfordernd	difficile
championship	şampiyonluk	Meisterschaft	championnat
characteristic	karakteristik	charakteristisch	caractéristique
charming	alımlı	charmant	charmant
chart	çizelge	Diagramm	graphique
chase	takip etmek	Verfolgungsjagd	chasse
cheek	yanak	Wange	joue
cheer	tezahürat etmek	jubeln	applaudir
chief	şef	Chef	chef
choir	koro	Chor	chorale
chop	kesmek	hacken	hacher
circuit	devre	Schaltkreis	circuit
circumstance	durum	Umstand	circonstance
cite	anmak	zitieren	citer
citizen	vatandaş	Bürger	citoyen
civil	sivil	bürgerlich	civil
civilization	medeniyet	Zivilisation	civilisation
clarify	açıklamak	klären	clarifier
classic	klasik	klassisch	classique
classify	sınıflandırmak	klassifizieren	classer
cleaning	temizlik	Reinigung	nettoyage
clerk	memur	Sachbearbeiter	greffier
cliff	uçurum	Cliff	falaise
clinic	klinik	Klinik	clinique
clip	klips	Clip	agrafe
close	kapalı	schließen	fermer
closely	yakından	eng	étroitement
coincidence	tesadüf	Zufall	hasard
collapse	yıkılmak	Zusammenbruch	effondrement
collector	kolektör	Kollektor	collectionneur
colony	koloni	Kolonie	colonie
colourful	renkli	bunt	coloré
combination	kombinasyon	Kombination	combinaison
comfort	konfor	Kompfort	confort
comic	çizgi roman	Comic	bande dessinée
command	emretmek	Befehl	commande
commander	komutan	Kommandant	le commandant
commission	komisyon	Kommission	commission
commitment	bağlılık	Engagement	engagement
committee	Kurul	Ausschuss	Comité
commonly	yaygın olarak	häufig	communément
comparative	karşılaştırmalı	vergleichend	comparatif
completion	tamamlama	Fertigstellung	achèvement
complex	karmaşık	Komplex	complexe
complicated	karmaşık	kompliziert	compliqué
component	bileşen	Komponente	composant
compose	bestelemek	komponieren	composer
composer	besteci	Komponist	compositeur
compound	birleştirmek	Verbindung	composé
comprehensive	kapsayıcı	umfassend	complet
comprise	içermek	umfassen	comprendre
compulsory	zorunlu	obligatorisch	obligatoire
concentration	konsantrasyon	Konzentration	concentration
concept	kavram	Konzept	concept
concern	kaygı	Anliegen	préoccupation
concerned	endişeli	betroffen	concerné
concrete	beton	Beton	béton
conduct	yönetmek	Benehmen	conduire
confess	itiraf etmek	bekennen	confesser
confidence	kendinden emin	Vertrauen	confiance
conflict	anlaşmazlık	Konflikt	conflit
confusing	kafa karıştırıcı	verwirrend	déroutant
confusion	bilinç bulanıklığı, konfüzyon	Verwirrtheit	confusion
conscious	bilinçli	bewusst	conscient
consequently	sonuç olarak	Folglich	par conséquent
conservation	koruma	Erhaltung	conservation
conservative	tutucu	konservativ	conservateur
considerable	hatırı sayılır	beträchtlich	considérable
considerably	önemli ölçüde	wesentlich	considérablement
consideration	düşünce	Rücksichtnahme	considération
consistent	tutarlı	konsistent	cohérent
consistently	sürekli	konsequent	régulièrement
conspiracy	komplo	Verschwörung	conspiration
constant	devamlı	Konstante	constant
constantly	sürekli	ständig	en permanence
construct	yapmak	bauen	construction
construction	yapı	Konstruktion	construction
consult	danışmak	konsultieren	consulter
consultant	danışman	Berater	consultant
consumption	tüketim	Verbrauch	consommation
contemporary	modern	zeitgenössisch	contemporain
contest	yarışma	Wettbewerb	concours
contract	sözleşme	Vertrag	contracter
contribute	katkı yapmak	beitragen	contribuer
contribution	katkı	Beitrag	contribution
controversial	tartışmalı	umstritten	controversé
controversy	tartışma	Kontroverse	controverse
convenience	kolaylık	Bequemlichkeit	commodité
convention	ortak düşünce	Konvention	convention
conventional	geleneksel	konventionell	conventionnel
convert	dönüştürmek	Konvertieren	convertir
convey	iletmek	vermitteln	transmettre
convinced	ikna edilmiş	überzeugt	convaincu
convincing	inandırıcı	überzeugend	convaincant
cope	başa çıkmak	bewältigen	se débrouiller
core	çekirdek	Kern	cœur
corporate	Kurumsal	Unternehmen	corporatif
corporation	şirket	Konzern	société
corridor	koridor	Gang	couloir
council	konsey	Rat	conseil
counter	tezgah	Schalter	comptoir
county	ilçe	Bezirk	comté
courage	cesaret	Mut	courage
coverage	kapsama alanı	Berichterstattung	couverture
crack	çatırtı	Riss	fissure
craft	zanaat	Handwerk	artisanat
crash	kaza	Absturz	accident
creation	yaratma	Schaffung	création
creativity	yaratıcılık	Kreativität	la créativité
creature	yaratık	Kreatur	créature
credit	kredi	Kredit	crédit
crew	mürettebat	Besatzung	équipage
crisis	kriz	Krise	crise
criterion	kriter	Kriterium	critère
critic	eleştirmen	Kritiker	critique
critical	eleştirel	kritisch	critique
critically	eleştirel olarak	kritisch	de manière critique
criticism	eleştiri	Kritik	critique
criticize	eleştirmek	kritisieren	critiquer
crop	mahsul	Ernte	culture
crucial	hayati	zentral	crucial
cruise	dolaşmak	Kreuzfahrt	croisière
cry	ağlamak	weinen	pleurer
cue	isteka	Stichwort	signal
cure	tedavi	Heilung	guérir
curious	meraklı	neugierig	curieux
current	akım	aktuell	actuel
curriculum	Müfredat	Lehrplan	programme d'études
curve	eğri	Kurve	courbe
curved	kavisli	gebogen	incurvé
cute	Sevimli	Niedlich	mignon
dairy	günlük	Molkerei	laitier
dare	cesaret etmek	Wagen	oser
darkness	karanlık	Dunkelheit	obscurité
database	veri tabanı	Datenbank	base de données
date	tarih	Datum	date
deadline	son teslim tarihi	Termin	date limite
deadly	ölümcül	tötlich	mortel
dealer	satıcı	Händler	Marchand
debate	çekişme	Debatte	débat
debt	borç	Schulden	dette
decent	düzgün	anständig	décent
deck	güverte	Deck	pont
declare	ilan etmek	erklären	déclarer
decline	reddetmek	Abfall	déclin
decoration	dekorasyon	Dekoration	décoration
decrease	azaltmak	verringern	diminuer
deeply	derinlemesine	tief	profondément
defeat	yenmek	Verlust	défaite
defence	savunma	Verteidigung	la défense
defend	savunmak	verteidigen	défendre
defender	savunucu	Verteidiger	défenseur
delay	gecikme	Verzögerung	retard
delete	silmek	löschen	supprimer
deliberate	kasten, kasıtlı, planlı	absichtlich	volontaire
deliberately	kasten	absichtlich	délibérément
delight	zevk	Freude	plaisir
delighted	memnun	erfreut	ravi
delivery	teslimat	Lieferung	livraison
demand	talep etmek	Nachfrage	demande
democracy	demokrasi	Demokratie	démocratie
democratic	demokratik	demokratisch	démocratique
demonstrate	göstermek	zeigen	démontrer
demonstration	gösteri	Demonstration	manifestation
deny	reddetmek	leugnen	refuser
depart	ayrılmak	abfahren	partir
dependent	bağımlı	abhängig	dépendant
deposit	Depozito	Kaution	dépôt
depressed	bunalımlı	deprimiert	déprimé
depressing	iç karartıcı	deprimierend	déprimant
depression	depresyon	Depression	dépression
depth	derinlik	Tiefe	profondeur
derive	türetmek	ableiten	dériver
desert	çöl	Wüste	désert
deserve	hak etmek	verdienen	mériter
desire	arzu	Verlangen	désir
desperate	çaresiz	verzweifelt	désespéré
desperately	umutsuzca	verzweifelt	désespérément
destruction	yıkım	Zerstörung	destruction
detail	detay	Detail	détail
detailed	detaylı	detailliert	détaillé
detect	tespit etmek	erkennen	détecter
determination	kararlılık	Festlegung	détermination
devote	adamak	widmen	consacrer
differ	farklılık	abweichen	différer
dig	kazmak	graben	creuser
disability	sakatlık	Behinderung	invalidité
disabled	engelli	Behinderte	désactivé
disagreement	anlaşmazlık	Uneinigkeit	désaccord
disappoint	hayal kırıklığına uğratmak	enttäuschen	décevoir
disappointment	hayal kırıklığı	Enttäuschung	déception
disc	disk	Rabatt	disque
discipline	disiplin	Disziplin	discipline
discount	indirim	Rabatt	rabais
discourage	vazgeçirmek	entmutigen	décourager
dishonest	sahtekâr	unehrlich	malhonnête
dismiss	azletmek	zurückweisen	rejeter
disorder	düzensizlik	Störung	désordre
display	görüntülemek	Anzeige	afficher
distant	mesafe	entfernt	loin
distinct	belirgin	unterscheidbar	distinct
distinguish	ayırt etmek	unterscheiden	distinguer
distract	dikkatini dağıtmak	ablenken	distraire
distribute	dağıtmak	verteilen	distribuer
distribution	dağıtım	Verteilung	distribution
district	semt	Bezirk	district
disturb	rahatsız etmek	stören	déranger
dive	dalmak	tauchen	plonger
diverse	türlü	vielfältig	divers
diversity	çeşitlilik	Diversität	diversité
divide	bölmek	teilen	diviser
division	bölüm	Aufteilung	division
divorce	boşanmak	Scheidung	divorce
document	belge	dokumentieren	document
domestic	yerel	inländisch	domestique
dominant	baskın	Dominant	dominant
dominate	hakim olmak	dominieren	dominer
donation	bağış	Spende	don
dot	nokta	Punkt	point
downtown	şehir merkezi	Innenstadt	centre ville
downwards	aşağı doğru	nach unten	vers le bas
dozen	düzine	Dutzend	douzaine
draft	taslak	Entwurf	brouillon
drag	sürüklemek	ziehen	glisser
dramatic	dramatik	dramatisch	spectaculaire
dramatically	dramatik bir şekilde	dramatisch	radicalement
drought	kuraklık	Trockenheit	sécheresse
dull	sıkıcı	langweilig	terne
dump	çöplük	entsorgen	décharge
duration	süre	Dauer	durée
dynamic	dinamik	dynamisch	dynamique
economics	ekonomi	Wirtschaft	économie
economist	iktisatçı	Ökonom	économiste
edit	düzenlemek	bearbeiten	modifier
edition	baskı	Auflage	édition
editorial	başyazı	redaktionell	éditorial
efficient	verimli	effizient	efficace
efficiently	verimli bir şekilde	effizient	efficacement
elbow	dirsek	Ellbogen	coude
elderly	yaşlı	Alten	âgé
elect	seçmek	wählen	élire
electronics	elektronik	Elektronik	électronique
elegant	zarif	elegant	élégant
elementary	temel	elementar	élémentaire
eliminate	elemek	beseitigen	éliminer
elsewhere	başka yerlerde	anderswo	autre part
embrace	kucaklamak	umarmen	embrasser
emerge	meydana gelmek	auftauchen	émerger
emission	emisyon	Emission	émission
emotional	duygusal	emotional	émotionnel
emotionally	duygusal olarak	emotional	émotionnellement
emphasis	vurgu	Schwerpunkt	accent
emphasize	vurgu	betonen	souligner
empire	imparatorluk	Reich	Empire
enable	olanak vermek	ermöglichen	activer
encounter	rastlamak	begegnen	rencontre
engage	angaje etmek	einsetzen	engager
enhance	genişletmek	erweitern	améliorer
enjoyable	eğlenceli	angenehm	agréable
enquiry	sorgu	Anfrage	demande
ensure	emin olmak	sicherstellen	assurer
entertaining	eğlenceli	unterhaltsam	divertissant
enthusiasm	heves	Begeisterung	enthousiasme
enthusiastic	hevesli	enthusiastisch	enthousiaste
entire	bütün	gesamte	entier
entirely	Baştan sona	vollständig	entièrement
entrepreneur	girişimci	Unternehmer	entrepreneur
envelope	mektup	Umschlag	enveloppe
equal	eşit	gleich	égal
equip	donatmak	ausrüsten	équiper
equivalent	eş değer	gleichwertig	équivalent
era	dönem	Epoche	ère
erupt	patlak vermek	ausbrechen	éclater
essentially	esasen	im Wesentlichen	essentiellement
establish	kurmak	gründen	établir
estate	arazi	Anwesen	domaine
estimate	tahmin etmek	schätzen	estimation
ethic	etik	Ethik	éthique
ethical	etik	ethisch	éthique
ethnic	etnik	ethnisch	ethnique
evaluate	değerlendirmek	auswerten	évaluer
evaluation	değerlendirme	Auswertung	évaluation
even	eşit	selbst	même
evident	belirgin	offensichtlich	évident
evil	fenalık	teuflisch	mal
evolution	evrim	Evolution	évolution
evolve	evrim geçirmek	sich entwickeln	évoluer
examination	muayene	Untersuchung	examen
exceed	aşmak	überschreiten	dépasser
exception	istisna	Ausnahme	exception
excessive	aşırı	übermäßig	excessif
exclude	hariç tutmak	ausschließen	exclure
excuse	mazeret	Ausrede	excuse
executive	yönetici	Executive	exécutif
exhibit	sergilemek	Ausstellungsstück	exposition
existence	varoluş	Existenz	existence
exit	çıkış	Ausfahrt	sortie
exotic	acayip	exotisch	exotique
expansion	genleşme	Erweiterung	expansion
expectation	beklenti	Erwartung	attente
expense	masraf	Kosten	frais
expertise	Uzmanlık	Sachverstand	compétence
exploit	faydalanmak	ausbeuten	exploiter
exploration	keşif	Erkundung	exploration
expose	ortaya çıkarmak	exponieren	exposer
exposure	maruziyet	Belichtung	exposition
extend	uzatmak	erweitern	étendre
extension	eklenti	Verlängerung	extension
extensive	yaygın	umfangreich	extensif
extensively	kapsamlı bir şekilde	ausführlich	largement
extent	kapsam	Ausmaß	étendue
external	harici	extern	externe
extract	çıkarmak	Extrakt	extrait
extraordinary	olağanüstü	außerordentlich	extraordinaire
extreme	aşırı	extrem	extrême
fabric	kumaş	Stoff	tissu
fabulous	efsanevi	fabelhaft	fabuleux
facility	tesis	Einrichtung	facilité
failed	arızalı	fehlgeschlagen	échoué
failure	arıza	Versagen	échec
faith	inanç	Glaube	foi
fake	sahte	gefälscht	faux
fame	şöhret	Ruhm	notoriété
fantasy	fantezi	Fantasie	fantaisie
fare	Ücret	Fahrpreis	tarif
fault	arıza	Fehler	défaut
favour	iyilik	favorisieren	service
feather	tüy	Feder	plume
federal	federal	Bundes	fédéral
fee	ücret	Gebühr	frais
feed	beslemek	füttern	alimentation
feedback	geri bildirim	Rückmeldung	retour
feel	hissetmek	fühlen	se sentir
fellow	aynı tür	Gefährte	compagnon
fever	ateş	Fieber	fièvre
figure	figür	Figur	chiffre
file	dosya	Datei	déposer
finance	finans	Finanzen	finance
finding	bulma	finden	découverte
firefighter	itfaiyeci	Feuerwehrmann	sapeur pompier
firework	havai fişek	Feuerwerk	feu d'artifice
firm	firma	Firma	entreprise
firmly	sıkıca	fest	fermement
fix	düzeltmek	Fix	réparer
flame	alev	Flamme	flamme
flash	flaş	blinken	éclair
flavour	lezzet	Geschmack	saveur
flexible	esnek	flexibel	flexible
float	batmadan yüzmek	schweben	flotter
fold	katlamak	falten	pli
folding	katlanır	Falten	pliant
following	takip etme	folgen	suivant
fond	düşkün	lieb	affreux
fool	aptal	täuschen	idiot
forbid	yasaklamak	verbieten	interdire
forecast	tahmin etmek	Vorhersage	prévision
forgive	affetmek	verzeihen	pardonner
format	biçim	Format	format
formation	oluşum	Formation	formation
former	önceki	ehemalig	ancien
formerly	vakti zamanında	früher	Auparavant
fortunate	şanslı	glücklich	chanceux
fortune	talih	Reichtum	fortune
forum	forum	Forum	forum
forward	ileri	nach vorne	avant
fossil	fosil	Fossil	fossile
found	kurmak	gefunden	trouvé
foundation	temel	Stiftung	fondation
founder	kurucu	Gründer	fondateur
fraction	fraksiyon	Fraktion	fraction
fragment	fragman	Fragment	fragment
framework	çerçeve	Rahmen	cadre
fraud	sahtekar	Betrug	fraude
free	özgür	frei	gratuit
freedom	özgürlük	Freiheit	liberté
freely	serbestçe	frei	librement
frequency	sıklık	Frequenz	fréquence
frequent	sık	häufig	fréquent
fuel	yakıt	Kraftstoff	carburant
fulfil	yerine getirmek	erfüllen	remplir
full-time	tam zamanlı	Vollzeit	à temps plein
fully	tamamen	völlig	pleinement
function	işlev	Funktion	fonction
fund	fon, sermaye	Fonds	fonds
fundamental	esas	grundlegend	fondamental
fundamentally	temelde	grundsätzlich	fondamentalement
funding	finansman	Finanzierung	financement
furious	çok öfkeli	wütend	furieux
furthermore	üstelik	Außerdem	en outre
gain	kazanmak	gewinnen	gagner
gaming	oyun	Spiele	jeu
gang	çete	Gang	gang
gender	cinsiyet	Geschlecht	genre
gene	gen	Gen	gène
generate	üretmek	generieren	générer
genetic	genetik	genetisch	génétique
genius	dahi	Genius	génie
genre	tür	Genre	genre
genuine	eşsiz	echt	authentique
genuinely	gerçekten	original	véritablement
gesture	jest yapmak	Geste	geste
gig	konser vermek	Soloauftritt	concert
globalization	küreselleşme	Globalisierung	mondialisation
globe	kürek	Globus	globe
golden	altın	golden	doré
goodness	iyilik	Güte	bonté
gorgeous	muhteşem	prächtig	magnifique
govern	yönetme	regieren	gouverne
governor	Vali	Gouverneur	gouverneur
grab	yakalamak	greifen	saisir
grade	seviye	Grad	grade
gradually	gitgide	schrittweise	progressivement
grand	büyük	Grand	grandiose
grant	hibe etmek	gewähren	accorder
graphic	grafik	Grafik	graphique
graphics	grafikler	Grafik	graphique
greatly	büyük ölçüde	sehr	très
greenhouse	sera	Gewächshaus	serre
grocery	bakkal	Lebensmittelgeschäft	épicerie
guarantee	garanti	Garantie	garantie
guideline	yönerge	Richtlinie	ligne directrice
habitat	doğal ortam	Lebensraum	habitat
handle	halletmek	handhaben	gérer
harbour	liman	Hafen	port
harm	zarar	Schaden	préjudice
harmful	zararlı	schädlich	nuisible
headquarters	Merkez	Hauptquartier	quartier général
heal	iyileştirmek	heilen	guérir
healthcare	sağlık hizmeti	Gesundheitspflege	soins de santé
hearing	işitme	Hören	audience
heaven	cennet	Himmel	paradis
heel	topuk	Hacke	talon
dansetmek	Dansetmak	Dansetmek	dansetmek
hell	cehennem	Hölle	enfer
helmet	kask	Helm	casque
hence	buradan	somit	ainsi
herb	bitki	Kraut	herbe
hesitate	tereddüt etmek	zögern	hésiter
hidden	gizlenmiş	versteckt	caché
high	yüksek	hoch	haut
highway	otoyol	Autobahn	Autoroute
hilarious	gülünç	urkomisch	hilarant
hip	belki	Hüfte	hanche
hire	kiralamak	mieten	embaucher
historian	tarihçi	Historiker	historien
hold	tutmak	halten	prise
hollow	oyuk	hohl	creux
holy	kutsal	heilig	saint
homeless	evsiz	obdachlos	sans-abri
honesty	dürüstlük	Ehrlichkeit	honnêteté
honour	onur	ehren	honneur
hook	çengel	Haken	accrocher
hopefully	umutla	hoffentlich	avec un peu de chance
host	ev sahibi	Gastgeber	héberger
house	ev	Haus	loger
household	ev	Haushalt	ménage
housing	Konut	Gehäuse	logement
humorous	nükteli, komik	humorvoll	humoristique
humour	mizah	Humor	humour
hunger	açlık	Hunger	faim
hunt	avlamak	Jagd	chasse
hunting	avcılık	Jagd	chasse
hurt	acıtmak	schmerzen	blesser
hypothesis	hipotez	Hypothese	hypothèse
icon	simge	Symbol	icône
ideal	ideal	Ideal	idéal
identical	birebir aynı	identisch	identique
illusion	yanılsama	Illusion	illusion
illustrate	gözünde canlandırmak	veranschaulichen	illustrer
illustration	gösterim	Illustration	illustration
imagination	hayal gücü	Vorstellung	imagination
immigration	göçmenlik	Einwanderung	immigration
immune	bağışık	immun	immunitaire
impatient	sabırsız	ungeduldig	impatient
implement	uygulamak	implementieren	mettre en œuvre
implication	ima	Implikation	implication
imply	ima etmek	implizieren	impliquer
impose	empoze etmek	auferlegen	imposer
impress	etkilemek	beeindrucken	impressionner
impressed	etkilenmiş	beeindruckt	impressionné
incentive	teşvik	Anreiz	incitation
inch	inç	Zoll	pouce
incident	olay	Vorfall	incident
income	gelir	Einkommen	revenu
incorporate	firma kurmak	Übernehmen	intégrer
incorrect	yanlış	falsch	Incorrect
increasingly	giderek	zunehmend	de plus en plus
independence	bağımsızlık	Unabhängigkeit	indépendance
index	indeks	Index	indice
indication	gösterge	Indikation	indication
industrial	Sanayi	industriell	industriel
inevitable	kaçınılmaz	unvermeidlich	inévitable
infection	enfeksiyon	Infektion	infection
infer	anlam çıkarmak	schließen	déduire
inflation	şişirme	Inflation	inflation
info	bilgi	die Info	Info
inform	bilgi vermek	informieren	informer
infrastructure	altyapı	Infrastruktur	Infrastructure
inhabitant	oturan	Einwohner	habitant
inherit	miras almak	erben	hériter
initial	ilk	Initial	initial
initially	ilk olarak	anfänglich	initialement
initiative	girişim	Initiative	initiative
ink	mürekkep	Tinte	encrer
inner	iç	innere	intérieur
innovation	yenilik	Innovation	innovation
innovative	yenilikçi	innovativ	innovant
input	giriş	Eingang	saisir
insert	sokmak	Einfügung	insérer
insight	iç yüzü	Einblick	aperçu
insist	ısrar etmek	pochen	insister
inspector	müfettiş	Inspektor	inspecteur
inspire	ilham vermek	inspirieren	inspirer
install	düzenlemek	Installieren	installer
installation	kurulum	Installation	installation
instance	misal	Beispiel	exemple
instant	ani	sofortig	instantané
instantly	aniden	sofort	immédiatement
institute	enstitü	Institut	institut
institution	kurum	Institution	institution
insurance	sigorta	Versicherung	assurance
integrate	birleştirmek	integrieren	intégrer
intellectual	entelektüel	intellektuell	intellectuel
intended	amaçlanan	vorgesehen	destiné
intense	yoğun	intensiv	intense
interact	etkileşime girmek	interagieren	interagir
interaction	etkileşim	Interaktion	interaction
internal	dahili	intern	interne
interpret	yorumlamak	interpretieren	interpréter
interpretation	tercüme	Deutung	interprétation
interrupt	yarıda kesmek	unterbrechen	interrompre
interval	aralık	Intervall	intervalle
invade	istila etmek	einfallen	envahir
invasion	istila	Invasion	invasion
investigation	soruşturma	Untersuchung	enquête
investment	yatırım	Investition	investissement
investor	yatırımcı	Investor	investisseur
isolate	izole etmek	isolieren	isoler
isolated	yalıtılmış	isoliert	isolé
issue	sorun	Ausgabe	problème
jail	hapishane	Gefängnis	prison
jet	jet	Jet	jet
joint	eklem yeri	gemeinsam	articulation
journalism	gazetecilik	Journalismus	journalisme
joy	neşe	Freude	joie
judgement	yargılama	Beurteilung	jugement
junior	genç	Junior	junior
jury	jüri	Jury	jury
justice	adalet	Gerechtigkeit	justice
justify	savunmak	rechtfertigen	justifier
kit	set	Kit	trousse
labour	iş gücü	Arbeit	travail
ladder	merdiven	Leiter	échelle
landing	iniş	Landung	atterrissage
landscape	manzara	Landschaft	paysage
lane	Lane	Fahrbahn	voie
largely	büyük oranda	weitgehend	en grande partie
lately	son zamanlarda	in letzter Zeit	dernièrement
latest	en sonuncu	neueste	dernier
launch	öğle yemeği	Start	lancement
leadership	liderlik	Führung	direction
